"Timestamp","1. What industry do you work in? ","2. What is your occupation? ","3. What country do you live in?","4. What country do you work in (if you work remotely)?","5. Who would you prefer to have your first interview with?","6. How much would you be prepared to pay to register in a recruitment system or web site?","7. During your job search, when would you be prepared to provide your personal information, such as name, surname, and contacts details?","8. Completing or updating your CV for job hunting:","9. Have you ever been asked to recommend someone for a job? ","10. Do you check vacancies elsewhere while being employed? ","11. What part of job search is the most irritating for you?"
"2021/05/31 3:37:05 pm GMT+10","Telecommunications","Marketing Analyst","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it;I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that;I have a CV, but I do not like amending it for each vacancy","Happened, but I didn't have a good match to recommend. Btw typo in question ""ever""","yes always, I don't want to miss out on something interesting;Not always, when there are limited opportunities for growth with current employer","having to attend numerous interviews;finding time to go through all these steps;finding too many irrelevant positions"
"2021/05/31 6:04:51 pm GMT+10","It","Quality engineer  ","Australia ","Australia ","director, head of department etc.","$5-10","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable;I would if I get paid for that","no, I will if I start to look for new job","writing a CV;having to attend numerous interviews;passing a technical interview"
"2021/05/31 6:14:54 pm GMT+10","IT","QA","Australia","Australia","hiring manager (team leader, head of project team etc.);director, head of department etc.","$10 or more, depending on what I am getting for this money;I'd it will obe time payment not for each appplication","I have no issues with sharing my personal information at any stage;I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","attending recruiter interviews;finding time to go through all these steps;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/05/31 6:19:06 pm GMT+10","Blockchain ","Technical leadership ","Australia","Australia","recruiter of hiring company","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way"
"2021/05/31 6:22:33 pm GMT+10","SaaS","Marketing Automation","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","writing a CV;finding too many irrelevant positions"
"2021/05/31 6:23:57 pm GMT+10","Bank, finance","Developer","Australia","Australia","recruiter of hiring company","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","it's a part of the process, I am ok with that","yes, and I was even paid for that","yes always, I don't want to miss out on something interesting","ending up in recruiters database and being chased later on"
"2021/05/31 6:29:17 pm GMT+10","IT","Digital accessibility specialist","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","yes, but there was noone I know suitable for the position","no, I will if I start to look for new job","not having any feedback from the employer or recruiter"
"2021/05/31 6:40:22 pm GMT+10","IT (accounting) ","Development Team Lead","Australia ","Australia ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/05/31 6:42:34 pm GMT+10","IT","Test Automation engineer ","Australia ","Australia ","recruiter of hiring company","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","irritates me as it's time consuming","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/05/31 6:47:45 pm GMT+10","IT","Senior Test Analyst (automation)","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that;irritates me as it's time consuming;I would rather talk about myself in person than create a CV","no, never happened to me","no, I will if I start to look for new job","writing a CV;having to attend numerous interviews;attending recruiter interviews;I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/05/31 7:04:37 pm GMT+10","IT","Product Owner","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","yes, and I was even paid for that;yes, but I don't like to recommend people","no, I will if I start to look for new job","attending recruiter interviews;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/05/31 8:07:16 pm GMT+10","Finance ","Lending associate ","Australia ","Australia ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates;$5-10;I think it must be free, if not than depending on what I can get for the money ","I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","attending recruiter interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/05/31 8:13:19 pm GMT+10","Entertainment ","QA","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it;I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that;irritates me as it's time consuming","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;having to attend numerous interviews"
"2021/05/31 8:59:21 pm GMT+10","It","Front end engineer","Australia","Australia","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that;irritates me as I do not know to write it to stand out from other job applicants","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","writing a CV;having to attend numerous interviews;passing a technical interview;finding time to go through all these steps;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/05/31 9:01:12 pm GMT+10","Media","Paid media trader ","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy","yes, and I was even paid for that","yes always, I don't want to miss out on something interesting","attending recruiter interviews;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/05/31 9:42:11 pm GMT+10","Security screening equipment ","National Service Manager ","Australia","Australia ","recruitment agency representative;recruiter of hiring company;hiring manager (team leader, head of project team etc.);director, head of department etc.","nothing, it must be free for candidates;$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable;yes, and I was even paid for that","yes always, I don't want to miss out on something interesting","having to attend numerous interviews;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/05/31 9:50:02 pm GMT+10","Human Resources ","Recruiter ","Australia ","Australia ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","I do not have a CV as I use my connections and get introduced to hiring managers directly","yes, and I was even paid for that","yes, I love to follow new trends and technologies","writing a CV"
"2021/05/31 10:00:45 pm GMT+10","Property Management ","Janitor ","Honduras ","Palau","director, head of department etc.","nothing, it must be free for candidates","I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","I do not have a CV as I use my connections and get introduced to hiring managers directly","I would if I get paid for that","yes, I love to follow new trends and technologies","I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way"
"2021/05/31 10:03:21 pm GMT+10","Tech ","Devops","USA ","USA ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","having to attend numerous interviews"
"2021/05/31 10:36:10 pm GMT+10","IT","Test manager ","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it;Once I have enough information about then placement to know I’m interested ","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","attending recruiter interviews;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/05/31 10:57:09 pm GMT+10","IT fintech ","Product manager ","Australia ","Kazakhstan ","recruiter of hiring company;hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;finding time to go through all these steps"
"2021/05/31 11:39:49 pm GMT+10","Automotive ","HRD ","Russia ","Russia ","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","attending recruiter interviews"
"2021/06/01 12:32:30 am GMT+10","Aerospace engineering","R&D Director","Russia","Russia","hiring manager (team leader, head of project team etc.);director, head of department etc.","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy;I do not have a CV as I use my connections and get introduced to hiring managers directly","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 1:04:24 am GMT+10","Autoretail","CMO/CBDO","Russia","Russia / remotely","director, head of department etc.","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;completing a test tasks;not having any feedback from the employer or recruiter"
"2021/06/01 3:21:46 am GMT+10","Food tech","Product design ","Russia","Russia","director, head of department etc.","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","irritates me as I do not know to write it to stand out from other job applicants;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","From time to time","writing a CV;passing a technical interview;completing a test tasks;attending recruiter interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 5:07:07 am GMT+10","IT","Head of","Rus","US","recruitment agency representative;director, head of department etc.","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","I would rather talk about myself in person than create a CV","yes, and I was even paid for that","yes always, I don't want to miss out on something interesting","not having any feedback from the employer or recruiter"
"2021/06/01 5:43:31 am GMT+10","Regenerative Agriculture consulting ","CFO","Netherlands ","Netherlands ","recruiter of hiring company","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","passing a technical interview;finding time to go through all these steps;I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 5:46:13 am GMT+10","Automotive","Vice President of Sales","Netherlands","Netherlands","CEO","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","completing a test tasks;attending recruiter interviews;not having any feedback from the employer or recruiter"
"2021/06/01 6:00:32 am GMT+10","Services ","Commercial director","Russia","Russia","recruiter of hiring company","not more than $1-2","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that;I would rather talk about myself in person than create a CV","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","completing a test tasks;attending recruiter interviews;finding too many irrelevant positions;ending up in recruiters database and being chased later on;not having any feedback from the employer or recruiter"
"2021/06/01 6:14:41 am GMT+10","Fmcg","Procurement","The Netherlands","The Netherlands","recruitment agency representative","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","completing a test tasks"
"2021/06/01 6:33:12 am GMT+10","Electrical ","Project Manager","Australia","Australia","director, head of department etc.","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","irritates me as I do not know to write it to stand out from other job applicants;I would rather talk about myself in person than create a CV","yes, but I don't like to recommend people","yes always, I don't want to miss out on something interesting","finding time to go through all these steps;finding too many irrelevant positions"
"2021/06/01 7:33:18 am GMT+10","Education ","Teachers ","Australia","Australia","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","irritates me as it's time consuming","no, never happened to me","yes, I love to follow new trends and technologies","finding time to go through all these steps"
"2021/06/01 11:06:29 am GMT+10","IT","UX/UI designer","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy","no, never happened to me","yes always, I don't want to miss out on something interesting;yes, I love to follow new trends and technologies","writing a CV;attending recruiter interviews;finding time to go through all these steps;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 12:41:29 pm GMT+10","it","devops","Au","Au","depends ","nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","irritates me as it's time consuming;I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","attending recruiter interviews;finding time to go through all these steps;ending up in recruiters database and being chased later on"
"2021/06/01 2:26:51 pm GMT+10","It","Product manager","Australia","Australia","hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it;I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that;I have a CV, but I do not like amending it for each vacancy","no, never happened to me;I would if I get paid for that","yes, I love to follow new trends and technologies","having to attend numerous interviews;attending recruiter interviews;finding time to go through all these steps;not having any feedback from the employer or recruiter"
"2021/06/01 7:38:48 pm GMT+10","Financial Services","Client Relationship Manager","United Kingdom","United Kingdom","hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","not having any feedback from the employer or recruiter"
"2021/06/01 7:44:56 pm GMT+10","CPG | FMCG","Commercial Director","The Netherlands","USA","recruiter of hiring company","$10 or more, depending on what I am getting for this money","I have no issues with sharing my personal information at any stage","I have a CV, but I do not like amending it for each vacancy","oh yes, often and I do refer whomever I find suitable","no, only when I am unemployed","completing a test tasks"
"2021/06/01 8:16:24 pm GMT+10","Insurance","Clerk","Australia","Australia","director, head of department etc.","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","passing a technical interview;not having any feedback from the employer or recruiter"
"2021/06/01 8:29:28 pm GMT+10","Automotive","Project manager sales operation","Netherlands ","Netherlands ","hiring manager (team leader, head of project team etc.)","$5-10;$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","completing a test tasks;finding too many irrelevant positions;not having any feedback from the employer or recruiter"
"2021/06/01 8:30:29 pm GMT+10","Education management ","BD& Sales","NL","France, Belgium, Switzerland","recruitment agency representative;hiring manager (team leader, head of project team etc.)","$10 or more, depending on what I am getting for this money","after I have already received detailed information about the project and know I am interested in it","irritates me as it's time consuming","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","writing a CV;having to attend numerous interviews"
